C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.18CEST01:53:01

maintype = G & redshift >0 & Distance.distance <  40 & Distance.distance  >= 30 & Distance.unit = Mpc
-----------------------------------------------------------------------------------------------------

Number of objects : 664

 # ;            identifier             ;typ;   radvel   ;  redshift  ;     cz     ;#dist; distance Q unit;  err-        err+     ; method ;     reference     
348;NGC 3246                           ;G  ;2149        ;0.007194    ;2156.76     ;    1;   35.16    Mpc ;  -2.85       +2.85    ;T-F     ;2020ApJ...902..145K
349;MCG-02-27-001                      ;G  ;2028        ;0.006788    ;2034.91     ;    1;   38.55    Mpc ;  -4.86       +4.86    ;T-F     ;2020ApJ...902..145K
350;ESO 436-14                         ;G  ;3887        ;0.013051    ;3912.53     ;    1;   45.92    Mpc ;  -7.65       +7.65    ;T-F     ;2020ApJ...902..145K
351;NGC 3294                           ;G  ;1578        ;0.005278    ;1582.17     ;    1;   28.05    Mpc ;  -2.52       +2.52    ;T-F     ;2020ApJ...902..145K
352;UGC 5738                           ;G  ;1522        ;0.005090    ;1525.88     ;    1;   33.27    Mpc ;                       ;        ;2016AJ....152...50T
353;LEDA 1441868                       ;G  ;1288        ;0.004306    ;1290.78     ;    1;   34.67    Mpc ;  -4.06       +4.06    ;T-F     ;2020ApJ...902..145K
354;NGC 3321                           ;G  ;2486.1      ;0.008327    ;2496.49     ;    1;   39.08    Mpc ;  -3.69       +3.69    ;T-F     ;2020ApJ...902..145K
355;NGC 3318                           ;G  ;2800.2      ;0.009384    ;2813.40     ;    1;   35.16    Mpc ;                       ;        ;2016AJ....152...50T
356;NGC 3433                           ;G  ;2722        ;0.009121    ;2734.47     ;    1;   39.70    Mpc ;  -2.25       +2.25    ;redshift;2015ApJ...809..146B
357;MCG-02-28-016                      ;G  ;2475        ;0.008289    ;2484.98     ;    1;   45.71    Mpc ;                       ;        ;2016AJ....152...50T
358;ESO 569-14                         ;G  ;2055.1      ;0.006879    ;2062.19     ;    1;   26.79    Mpc ;  -2.29       +2.29    ;T-F     ;2020ApJ...902..145K
359;NGC 3355                           ;G  ;1196.0      ;0.003997    ;1198.40     ;    1;   37       Mpc ;  -7          +7       ;T-F     ;2008ApJ...676..184T
360;ESO 437-47                         ;G  ;2492        ;0.008347    ;2502.44     ;    1;   36.64    Mpc ;  -8.24       +8.24    ;T-F     ;2020ApJ...902..145K
361;Z 125-22                           ;G  ;1342        ;0.004486    ;1345.02     ;    1;   31.05    Mpc ;  -3.63       +3.63    ;T-F     ;2020ApJ...902..145K
362;UGC 6062                           ;G  ;2612        ;0.00875     ;2623.2      ;    1;   38.7     Mpc ;                       ;redshift;2011MNRAS.413..813C
363;UGC 6271                           ;G  ;1999        ;0.006690    ;2005.71     ;    1;   34.04    Mpc ;  -2.30       +2.30    ;T-F     ;2020ApJ...902..145K
364;NGC 3559                           ;G  ;3217        ;0.01079     ;3234.8      ;    1;   39.26    Mpc ;  -4.24       +4.24    ;T-F     ;2020ApJ...902..145K
365;Z 39-73                            ;G  ;2546        ;0.008529    ;2556.90     ;    1;   36.52    Mpc ;  -1.97       +1.97    ;redshift;2015ApJ...809..146B
366;ESO 377-19                         ;G  ;2986        ;0.010010    ;3001.02     ;    1;   32.96    Mpc ;  -6.08       +6.08    ;T-F     ;2020ApJ...902..145K
367;Z 39-106                           ;G  ;2686        ;0.009000    ;2698.14     ;    1;   37.15    Mpc ;  -4.68       +4.68    ;T-F     ;2020ApJ...902..145K
368;Z 39-122                           ;G  ;2671        ;0.008950    ;2683.01     ;    1;   73.11    Mpc ;  -6.91       +6.91    ;T-F     ;2020ApJ...902..145K
369;NGC 3633                           ;G  ;2593        ;0.008687    ;2604.31     ;    1;   45.29    Mpc ;  -2.85       +2.85    ;T-F     ;2020ApJ...902..145K
370;NGC 3679                           ;G  ;2762        ;0.009256    ;2774.84     ;    1;   39.5     Mpc ;                       ;redshift;2011MNRAS.413..813C
371;ESO 570-19                         ;G  ;1335.1      ;0.004463    ;1338.09     ;    1;   31.48    Mpc ;  -4.67       +4.67    ;T-F     ;2020ApJ...902..145K
372;ESO 377-39                         ;G  ;2823        ;0.00946     ;2836.0      ;    1;   36.2916  Mpc ;                       ;redshift;2019A&A...631A..38L
373;UGC 6517                           ;G  ;2494        ;0.008354    ;2504.46     ;    1;   50.58    Mpc ;  -6.37       +6.37    ;T-F     ;2020ApJ...902..145K
374;UGC 6512                           ;G  ;1866        ;0.006244    ;1871.84     ;    1;   36.81    Mpc ;  -3.81       +3.81    ;T-F     ;2020ApJ...902..145K
375;NGC 3687                           ;G  ;2506        ;0.008394    ;2516.56     ;    1;   38.4     Mpc ;                       ;redshift;2011MNRAS.413..813C
376;UGC 6776                           ;G  ;733         ;0.002448    ;733.90      ;    1;   31.48    Mpc ;  -6.52       +6.52    ;T-F     ;2020ApJ...902..145K
377;2MASX J11465561-0511158            ;G  ;2517        ;0.008431    ;2527.66     ;    1;   37.1     Mpc ;                       ;redshift;2011MNRAS.413..813C
378;ESO 504-10                         ;G  ;1932        ;0.006465    ;1938.27     ;    1;   31.33    Mpc ;  -6.06       +6.06    ;T-F     ;2020ApJ...902..145K
379;ESO 440-4                          ;G  ;1845.1      ;0.006174    ;1850.81     ;    1;   34.36    Mpc ;                       ;        ;2016AJ....152...50T
380;ESO 266-15                         ;G  ;3165.6      ;0.010616    ;3182.49     ;    1;   39.45    Mpc ;  -6.75       +6.75    ;T-F     ;2020ApJ...902..145K
381;NGC 4025                           ;G  ;3205        ;0.01075     ;3222.8      ;    1;   36.81    Mpc ;  -5.80       +5.80    ;T-F     ;2020ApJ...902..145K
382;UGCA 254                           ;G  ;1819.2      ;0.006087    ;1824.75     ;    1;   25.82    Mpc ;  -3.95       +3.95    ;T-F     ;2020ApJ...902..145K
383;ESO 572-24                         ;G  ;1847        ;0.006180    ;1852.72     ;    1;   38.90    Mpc ;  -9.98       +9.98    ;T-F     ;2020ApJ...902..145K
384;ESO 440-23                         ;G  ;1882        ;0.006298    ;1887.94     ;    1;   32.21    Mpc ;  -7.68       +7.68    ;T-F     ;2020ApJ...902..145K
385;UGC 7125                           ;G  ;1072        ;0.003582    ;1073.92     ;    1;   13.06    Mpc ;  -1.35       +1.35    ;T-F     ;2020ApJ...902..145K
386;LEDA 1351666                       ;G  ;2192        ;0.007339    ;2200.07     ;    1;   33.17    Mpc ;                       ;        ;2008AJ....136..713K
387;Z 69-72                            ;G  ;2240        ;0.007500    ;2248.43     ;    1;   48.98    Mpc ;  -4.85       +4.85    ;T-F     ;2020ApJ...902..145K
388;UGC 6998                           ;G  ;1924        ;0.00644     ;1930.7      ;    1;   31.0000  Mpc ;                       ;redshift;2019A&A...631A..38L
389;ESO 572-49                         ;G  ;1665.8      ;0.005572    ;1670.45     ;    1;   28.44    Mpc ;  -5.12       +5.12    ;T-F     ;2020ApJ...902..145K
390;ESO 505-9                          ;G  ;2140        ;0.007164    ;2147.69     ;    1;   25.70    Mpc ;  -5.55       +5.55    ;T-F     ;2020ApJ...902..145K
391;ESO 505-16                         ;G  ;2147        ;0.007187    ;2154.74     ;    1;   34.51    Mpc ; -10.25      +10.25    ;T-F     ;2020ApJ...902..145K
392;ESO 441-11                         ;G  ;2144        ;0.007177    ;2151.72     ;    1;   27.29    Mpc ;  -4.79       +4.79    ;T-F     ;2020ApJ...902..145K
393;ESO 379-27                         ;G  ;2859        ;0.009583    ;2872.76     ;    1;   47.21    Mpc ;  -6.80       +6.80    ;T-F     ;2020ApJ...902..145K
394;UGC 7223                           ;G  ;2073        ;0.006939    ;2080.22     ;    1;   34.99    Mpc ;                       ;        ;2016AJ....152...50T
395;LEDA 39825                         ;G  ;2098        ;0.007023    ;2105.39     ;    1;   33.1     Mpc ;                       ;        ;2007AJ....133.2569G
396;LEDA 1419134                       ;G  ;2056        ;0.006882    ;2063.10     ;    1;   32.6     Mpc ;                       ;        ;2007AJ....133.2569G
397;IC 3074                            ;G  ;1979        ;0.006623    ;1985.58     ;    1;   32.51    Mpc ;  -2.19       +2.19    ;T-F     ;2020ApJ...902..145K
398;LEDA 39153                         ;G  ;2197        ;0.007355    ;2205.11     ;    1;   31.70    Mpc ;                       ;        ;2008AJ....136..713K
399;Z 69-108                           ;G  ;2581        ;0.008647    ;2592.21     ;    1;   31.60    Mpc ;                       ;        ;2008AJ....136..713K
400;Z 41-74                            ;G  ;3955        ;0.013281    ;3981.44     ;    1;   37.15    Mpc ;  -4.01       +4.01    ;T-F     ;2020ApJ...902..145K
401;UGC 7184                           ;G  ;2114        ;0.007077    ;2121.51     ;    1;   33.57    Mpc ;  -2.57       +2.57    ;T-F     ;2020ApJ...902..145K
402;LEDA 40414                         ;G  ;1861        ;0.006227    ;1866.81     ;    1;   38.73    Mpc ;  -3.49       +3.49    ;T-F     ;2020ApJ...902..145K
403;UGC 7625                           ;G  ;2238.7      ;0.007496    ;2247.12     ;    1;   39.81    Mpc ;  -3.40       +3.40    ;T-F     ;2020ApJ...902..145K
404;NGC 4462                           ;G  ;1792        ;0.005995    ;1797.39     ;    1;   28.71    Mpc ;  -2.84       +2.84    ;T-F     ;2020ApJ...902..145K
405;NGC 4629                           ;G  ;1108.9      ;0.003706    ;1110.96     ;    1;   32.961   Mpc ;                       ;redshift;2019A&A...631A..38L
406;UGC 7883                           ;G  ;3208.6      ;0.010761    ;3225.96     ;    1;   43.45    Mpc ;  -2.93       +2.93    ;T-F     ;2020ApJ...902..145K
407;6dFGS gJ124419.2-053210            ;G  ;2673        ;0.008956    ;2685.02     ;    1;   39.26    Mpc ;  -5.65       +5.65    ;T-F     ;2020ApJ...902..145K
408;IC 3735                            ;G  ;1874        ;0.006271    ;1880.00     ;    1;   16.98    Mpc ;                       ;        ;2016AJ....152...50T
409;MCG-02-33-058                      ;G  ;2471.7      ;0.008279    ;2481.97     ;    1;   28.71    Mpc ;  -2.71       +2.71    ;T-F     ;2020ApJ...902..145K
410;ESO 507-41                         ;G  ;3164        ;0.010611    ;3181.10     ;    1;   30.76    Mpc ;                       ;        ;2016AJ....152...50T
411;LEDA 45211                         ;G  ;2348        ;0.007863    ;2357.27     ;    1;   39.08    Mpc ;  -3.17       +3.17    ;T-F     ;2020ApJ...902..145K
412;UGC 8056                           ;G  ;2697        ;0.009037    ;2709.24     ;    1;   48.75    Mpc ;  -4.39       +4.39    ;T-F     ;2020ApJ...902..145K
413;LEDA 2064267                       ;G  ;2368        ;0.00793     ;2377.4      ;    1;   34.44    Mpc ;  -1.71       +1.71    ;redshift;2015ApJ...809..146B
414;LEDA 1958740                       ;G  ;1436        ;0.00480     ;1439.0      ;    1;   32.17    Mpc ;  -1.82       +1.82    ;redshift;2015ApJ...809..146B
415;LEDA 5064945                       ;G  ;3392        ;0.011379    ;3411.41     ;    1;   37.67    Mpc ;  -3.39       +3.39    ;T-F     ;2020ApJ...902..145K
416;Z 72-15                            ;G  ;3970        ;0.01333     ;3996.2      ;    1;   39.81    Mpc ;  -4.12       +4.12    ;T-F     ;2020ApJ...902..145K
417;IC 4216                            ;G  ;2847.0      ;0.009542    ;2860.65     ;    1;   35.65    Mpc ;                       ;        ;2016AJ....152...50T
418;ESO 576-17                         ;G  ;2787.4      ;0.009341    ;2800.48     ;    1;   33.57    Mpc ;                       ;        ;2016AJ....152...50T
419;ESO 575-61                         ;G  ;1647        ;0.005509    ;1651.55     ;    1;   38.73    Mpc ;  -7.84       +7.84    ;T-F     ;2020ApJ...902..145K
420;ESO 576-26                         ;G  ;1946        ;0.006512    ;1952.36     ;    1;   20.99    Mpc ;  -2.83       +2.83    ;T-F     ;2020ApJ...902..145K
421;ESO 576-3                          ;G  ;2953.5      ;0.009901    ;2968.19     ;    1;   28.31    Mpc ;  -2.04       +2.04    ;T-F     ;2020ApJ...902..145K
422;IC 4214                            ;G  ;2356        ;0.00789     ;2365.4      ;    1;   34.20    Mpc ;                       ;        ;2016AJ....152...50T
423;IC 4237                            ;G  ;2668.6      ;0.008941    ;2680.58     ;    1;   35.97    Mpc ;  -3.89       +3.89    ;T-F     ;2020ApJ...902..145K
424;IC 874                             ;G  ;2294        ;0.007682    ;2303.01     ;    1;   31.18    Mpc ;                       ;redshift;2007ApJ...655..790C
425;NGC 5101                           ;G  ;1871.0      ;0.006261    ;1876.88     ;    1;   16.22    Mpc ;                       ;        ;2016AJ....152...50T
426;ESO 382-41                         ;G  ;1750.0      ;0.005855    ;1755.14     ;    1;   33.88    Mpc ;  -3.81       +3.81    ;T-F     ;2020ApJ...902..145K
427;ESO 382-67                         ;G  ;2450        ;0.008206    ;2460.10     ;    1;   38       Mpc ;  -7          +7       ;T-F     ;2008ApJ...676..184T
428;LEDA 91299                         ;G  ;1240        ;0.004145    ;1242.58     ;    1;   31.05    Mpc ;                       ;        ;2016AJ....152...50T
429;ESO 324-44                         ;G  ;2533.1      ;0.008486    ;2543.89     ;    1;   35.81    Mpc ;  -4.19       +4.19    ;T-F     ;2020ApJ...902..145K
430;LEDA 2053645                       ;G  ;2448        ;0.00820     ;2458.3      ;    1;   35.75    Mpc ;  -1.75       +1.75    ;redshift;2015ApJ...809..146B
431;UGC 8731                           ;G  ;2248        ;0.007527    ;2256.49     ;    1;   37.67    Mpc ;  -3.39       +3.39    ;T-F     ;2020ApJ...902..145K
432;UGC 8693                           ;G  ;2436        ;0.008159    ;2445.98     ;    1;   40.18    Mpc ;  -2.53       +2.53    ;T-F     ;2020ApJ...902..145K
433;LEDA 89642                         ;G  ;2308        ;0.007729    ;2316.95     ;    1;   53.21    Mpc ;  -4.55       +4.55    ;T-F     ;2020ApJ...902..145K
434;ESO 510-43                         ;G  ;3003.2      ;0.010068    ;3018.39     ;    1;   38.73    Mpc ;  -5.93       +5.93    ;T-F     ;2020ApJ...902..145K
435;ESO 384-15                         ;G  ;3481        ;0.01168     ;3501.6      ;    1;   37.67    Mpc ;                       ;        ;2016AJ....152...50T
436;NGC 5492                           ;G  ;2268        ;0.007594    ;2276.64     ;    1;   38.02    Mpc ;  -2.05       +2.05    ;T-F     ;2020ApJ...902..145K
437;UGC 9057                           ;G  ;1565.2      ;0.005235    ;1569.31     ;    1;   28.84    Mpc ;                       ;        ;2016AJ....152...50T
438;IC 971                             ;G  ;3318        ;0.011130    ;3336.57     ;    1;   32.51    Mpc ;  -4.53       +4.53    ;T-F     ;2020ApJ...902..145K
439;NGC 5566                           ;G  ;1540        ;0.005150    ;1543.98     ;    1;   31.19    Mpc ;                       ;        ;2016AJ....152...50T
440;Z 19-3                             ;G  ;2433        ;0.008149    ;2442.95     ;    1;   36.14    Mpc ; -10.73      +10.73    ;T-F     ;2020ApJ...902..145K
441;ESO 446-53                         ;G  ;1381        ;0.004617    ;1384.20     ;    1;   20.80    Mpc ;  -2.15       +2.15    ;T-F     ;2020ApJ...902..145K
442;ESO 446-45                         ;G  ;2742.8      ;0.009191    ;2755.46     ;    1;   30.34    Mpc ;  -4.91       +4.91    ;T-F     ;2020ApJ...902..145K
443;ESO 385-12                         ;G  ;3704.9      ;0.012436    ;3728.08     ;    1;   35.48    Mpc ;  -9.90       +9.90    ;T-F     ;2020ApJ...902..145K
444;UGC 9356                           ;G  ;2224        ;0.007446    ;2232.31     ;    1;   32.06    Mpc ;                       ;        ;2016AJ....152...50T
445;NGC 5666                           ;G  ;2225        ;0.007450    ;2233.32     ;    1;   31.27    Mpc ;  -1.79       +1.79    ;redshift;2015ApJ...809..146B
446;Z 75-61                            ;G  ;2191        ;0.007335    ;2199.07     ;    1;   47.86    Mpc ;  -3.45       +3.45    ;T-F     ;2020ApJ...902..145K
447;UGC 9305                           ;G  ;2362        ;0.007910    ;2371.38     ;    1;   45.08    Mpc ;  -3.65       +3.65    ;T-F     ;2020ApJ...902..145K
448;UGC 9392                           ;G  ;1772        ;0.005928    ;1777.27     ;    1;   30.1065  Mpc ;                       ;redshift;2019A&A...631A..38L
449;ESO 511-46                         ;G  ;4388        ;0.014745    ;4420.59     ;    1;   38.73    Mpc ;  -6.45       +6.45    ;T-F     ;2020ApJ...902..145K
450;ESO 385-47                         ;G  ;4075        ;0.013686    ;4102.96     ;    1;   39.81    Mpc ;                       ;        ;2016AJ....152...50T
451;ESO 385-32                         ;G  ;2840        ;0.009519    ;2853.58     ;    1;   35.65    Mpc ;  -5.61       +5.61    ;T-F     ;2020ApJ...902..145K
452;MCG-01-37-011                      ;G  ;1877        ;0.006281    ;1882.91     ;    1;   36.64    Mpc ;  -8.74       +8.74    ;T-F     ;2020ApJ...902..145K
453;NGC 5742                           ;G  ;3999        ;0.013429    ;4026.03     ;    1;   37.33    Mpc ;                       ;        ;2016AJ....152...50T
454;LEDA 935235                        ;G  ;2406        ;0.008058    ;2415.73     ;    1;   39.45    Mpc ;                       ;        ;2016AJ....152...50T
455;MCG-02-38-010                      ;G  ;1968.2      ;0.006587    ;1974.70     ;    1;   38.37    Mpc ;  -8.98       +8.98    ;T-F     ;2020ApJ...902..145K
456;NGC 5726                           ;G  ;3440        ;0.011541    ;3459.90     ;    1;   34.20    Mpc ;                       ;        ;2016AJ....152...50T
457;ESO 580-18                         ;G  ;2364.5      ;0.007918    ;2373.90     ;    1;   35.2     Mpc ;                       ;redshift;2006ApJS..165..307M
458;ESO 512-16                         ;G  ;3308.7      ;0.011098    ;3327.16     ;    1;   29.38    Mpc ;  -4.49       +4.49    ;T-F     ;2020ApJ...902..145K
459;ESO 340-9                          ;G  ;2570.8      ;0.008612    ;2581.92     ;    1;   27.42    Mpc ;  -3.82       +3.82    ;T-F     ;2020ApJ...902..145K
460;ESO 400-25                         ;G  ;2175        ;0.007282    ;2182.95     ;    1;   22.08    Mpc ;  -4.27       +4.27    ;T-F     ;2020ApJ...902..145K
461;ESO 514-13                         ;G  ;3692.2      ;0.012393    ;3715.22     ;    1;   30.76    Mpc ;                       ;        ;2016AJ....152...50T
462;ESO 450-11                         ;G  ;2177.4      ;0.007290    ;2185.37     ;    1;   34.36    Mpc ;  -4.79       +4.79    ;T-F     ;2020ApJ...902..145K
463;NGC 6907                           ;G  ;3175.5      ;0.010649    ;3192.50     ;    1;   36.31    Mpc ;                       ;        ;2016AJ....152...50T
464;ESO 581-16                         ;G  ;4089        ;0.013733    ;4117.05     ;    1;   33.27    Mpc ;                       ;        ;2016AJ....152...50T
465;ESO 582-4                          ;G  ;2222.1      ;0.007440    ;2230.40     ;    1;   34.36    Mpc ;  -4.02       +4.02    ;T-F     ;2020ApJ...902..145K
466;ESO 596-32                         ;G  ;3405        ;0.011423    ;3424.56     ;    1;   41.69    Mpc ;  -9.19       +9.19    ;T-F     ;2020ApJ...902..145K
467;MCG-02-38-031                      ;G  ;2438        ;0.008166    ;2447.99     ;    1;   41.69    Mpc ;  -7.50       +7.50    ;T-F     ;2020ApJ...902..145K
468;UGC 10288                          ;G  ;2033.1      ;0.006805    ;2040.04     ;    1;   31.62    Mpc ;  -1.71       +1.71    ;T-F     ;2020ApJ...902..145K
469;UGC 10554                          ;G  ;1562        ;0.005224    ;1566.09     ;    1;   35.48    Mpc ;  -5.91       +5.91    ;T-F     ;2020ApJ...902..145K
470;NGC 6010                           ;G  ;2037        ;0.006818    ;2043.97     ;    1;   21.09    Mpc ;                       ;        ;2016AJ....152...50T
471;IC 1158                            ;G  ;1930.2      ;0.006459    ;1936.45     ;    1;   32.51    Mpc ;  -3.22       +3.22    ;T-F     ;2020ApJ...902..145K
472;NGC 6070                           ;G  ;2003.6      ;0.006706    ;2010.34     ;    1;   29.65    Mpc ;  -2.27       +2.27    ;T-F     ;2020ApJ...902..145K
473;LEDA 1234821                       ;G  ;1478        ;0.004942    ;1481.66     ;    1;   36.98    Mpc ;  -3.33       +3.33    ;T-F     ;2020ApJ...902..145K
474;UGC 10009                          ;G  ;2081        ;0.006966    ;2088.27     ;    1;   35.16    Mpc ;  -3.48       +3.48    ;T-F     ;2020ApJ...902..145K
475;UGC 9830                           ;G  ;1830        ;0.006123    ;1835.62     ;    1;   27.80    Mpc ;  -2.13       +2.13    ;T-F     ;2020ApJ...902..145K
476;NGC 6014                           ;G  ;2396        ;0.008026    ;2406.13     ;    1;   35.8     Mpc ;                       ;redshift;2011MNRAS.413..813C
477;UGC 10041                          ;G  ;2169        ;0.007261    ;2176.90     ;    1;   25.94    Mpc ;  -2.92       +2.92    ;T-F     ;2020ApJ...902..145K
478;NGC 6017                           ;G  ;1781        ;0.005957    ;1785.86     ;    1;   30.34    Mpc ;                       ;        ;2016AJ....152...50T
479;Z 51-21                            ;G  ;2647        ;0.008869    ;2658.79     ;    1;   39.5     Mpc ;                       ;redshift;2011MNRAS.413..813C
480;UGC 10743                          ;G  ;2571        ;0.008613    ;2582.12     ;    1;   21.98    Mpc ;  -2.57       +2.57    ;T-F     ;2020ApJ...902..145K
481;Z 79-46                            ;G  ;1369        ;0.004577    ;1372.14     ;    1;   34.36    Mpc ;  -2.94       +2.94    ;T-F     ;2020ApJ...902..145K
482;NGC 6063                           ;G  ;2848        ;0.009545    ;2861.66     ;    1;   45.92    Mpc ;  -4.13       +4.13    ;T-F     ;2020ApJ...902..145K
483;UGC 11293                          ;G  ;3476        ;0.011663    ;3496.39     ;    1;   38.90    Mpc ;  -2.98       +2.98    ;T-F     ;2020ApJ...902..145K
484;UGC 9845                           ;G  ;1893        ;0.006334    ;1899.01     ;    1;   30.34    Mpc ;  -2.18       +2.18    ;T-F     ;2020ApJ...902..145K
485;NGC 6368                           ;G  ;2765        ;0.009266    ;2777.87     ;    1;   36.81    Mpc ;  -3.48       +3.48    ;T-F     ;2020ApJ...902..145K
486;UGC 10852                          ;G  ;2778        ;0.009310    ;2790.99     ;    1;   30.34    Mpc ;  -4.64       +4.64    ;T-F     ;2020ApJ...902..145K
487;LEDA 1397368                       ;G  ;2839        ;0.009515    ;2852.57     ;    1;   39.46    Mpc ;  -1.93       +1.93    ;redshift;2015ApJ...809..146B
488;UGC 10014                          ;G  ;1124        ;0.003756    ;1126.12     ;    1;   38       Mpc ;  -7          +8       ;T-F     ;2008ApJ...676..184T
489;UGC 9962                           ;G  ;3259        ;0.01093     ;3276.7      ;    1;   40.93    Mpc ;  -8.84       +8.84    ;T-F     ;2020ApJ...902..145K
490;UGC 9951                           ;G  ;2004        ;0.006707    ;2010.74     ;    1;   32.21    Mpc ;  -3.19       +3.19    ;T-F     ;2020ApJ...902..145K
491;2MASX J18092657+1907036            ;G  ;2341        ;0.007839    ;2350.07     ;    1;   36.2     Mpc ;                       ;redshift;2011MNRAS.413..813C
492;NGC 6555                           ;G  ;2218        ;0.007425    ;2225.96     ;    1;   34.2     Mpc ;                       ;redshift;2011MNRAS.413..813C
493;IC 1151                            ;G  ;2167        ;0.007255    ;2174.89     ;    1;   25.00    Mpc ;  -1.69       +1.69    ;T-F     ;2020ApJ...902..145K
494;UGC 11120                          ;G  ;2244        ;0.007513    ;2252.46     ;    1;   28.58    Mpc ;  -6.04       +6.04    ;T-F     ;2020ApJ...902..145K
495;NGC 6586                           ;G  ;3138        ;0.010523    ;3154.60     ;    1;   36.48    Mpc ;  -4.43       +4.43    ;T-F     ;2020ApJ...902..145K
496;UGC 11385                          ;G  ;3118        ;0.010455    ;3134.38     ;    1;   43.85    Mpc ;  -6.31       +6.31    ;T-F     ;2020ApJ...902..145K
497;2MASX J19505731+1822281            ;G  ;3977        ;0.013355    ;4003.73     ;    1;   31.33    Mpc ;                       ;        ;2016AJ....152...50T
498;NGC 6372                           ;G  ;4753        ;0.015982    ;4791.28     ;    1;   48.53    Mpc ;  -5.68       +5.68    ;T-F     ;2020ApJ...902..145K
499;UGC 11307                          ;G  ;3145        ;0.010546    ;3161.67     ;    1;   33.57    Mpc ;  -2.72       +2.72    ;T-F     ;2020ApJ...902..145K
500;UGC 11379                          ;G  ;4380        ;0.0147      ;4412        ;    1;   39.26    Mpc ;  -5.30       +5.30    ;T-F     ;2020ApJ...902..145K
501;UGC 9698                           ;G  ;4829        ;0.01624     ;4868.6      ;    1;   37.84    Mpc ;                       ;        ;2016AJ....152...50T
502;Z 136-4                            ;G  ;1990        ;0.006660    ;1996.65     ;    1;   30.48    Mpc ;  -2.61       +2.61    ;T-F     ;2020ApJ...902..145K
503;IC 4582                            ;G  ;2146        ;0.007184    ;2153.74     ;    1;   44.46    Mpc ;  -3.60       +3.60    ;T-F     ;2020ApJ...902..145K
504;Z 166-61                           ;G  ;2170        ;0.007265    ;2177.91     ;    1;   31.33    Mpc ;  -2.07       +2.07    ;redshift;2015ApJ...809..146B
505;UGC 11380                          ;G  ;2867        ;0.0096      ;2881        ;    1;   32.21    Mpc ;  -2.75       +2.75    ;T-F     ;2020ApJ...902..145K
506;UGC 10625                          ;G  ;2044        ;0.006841    ;2051.02     ;    1;   33.88    Mpc ;  -3.35       +3.35    ;T-F     ;2020ApJ...902..145K
507;NGC 6339                           ;G  ;2108        ;0.007056    ;2115.46     ;    1;   28.05    Mpc ;  -4.54       +4.54    ;T-F     ;2020ApJ...902..145K
508;NGC 6585                           ;G  ;2827        ;0.009475    ;2840.46     ;    1;   32.06    Mpc ;  -2.89       +2.89    ;T-F     ;2020ApJ...902..145K
509;NGC 6675                           ;G  ;2485        ;0.008322    ;2495.00     ;    1;   39.63    Mpc ;                       ;        ;2016AJ....152...50T
510;IC 1265                            ;G  ;2161        ;0.007234    ;2168.85     ;    1;   42.46    Mpc ;  -5.73       +5.73    ;T-F     ;2020ApJ...902..145K
511;ESO 257-19                         ;G  ;2867.9      ;0.009612    ;2881.75     ;    1;   36.64    Mpc ;  -3.46       +3.46    ;T-F     ;2020ApJ...902..145K
512;ESO 122-1                          ;G  ;2627.4      ;0.008803    ;2639.01     ;    1;   25.00    Mpc ;  -2.14       +2.14    ;T-F     ;2020ApJ...902..145K
513;NGC 1853                           ;G  ;1423.2      ;0.004759    ;1426.59     ;    1;   17.95    Mpc ;  -2.58       +2.58    ;T-F     ;2020ApJ...902..145K
514;ESO 121-26                         ;G  ;2274.3      ;0.007615    ;2282.99     ;    1;   40.36    Mpc ;                       ;        ;2016AJ....152...50T
515;ESO 119-16                         ;G  ;983.0       ;0.003284    ;984.62      ;    1;    9.80    Mpc ;                       ;T-F     ;2011ApJS..192....6L
516;ESO 263-15                         ;G  ;2532.0      ;0.008482    ;2542.78     ;    1;   32.21    Mpc ;  -3.19       +3.19    ;T-F     ;2020ApJ...902..145K
517;ESO 124-15                         ;G  ;2584.5      ;0.008658    ;2595.74     ;    1;   38.90    Mpc ;                       ;        ;2016AJ....152...50T
518;NGC 3366                           ;G  ;2905.1      ;0.009738    ;2919.31     ;    1;   39.81    Mpc ;  -3.58       +3.58    ;T-F     ;2020ApJ...902..145K
519;ESO 196-11                         ;G  ;3632.2      ;0.012190    ;3654.47     ;    1;   39.08    Mpc ;                       ;        ;2016AJ....152...50T
520;ESO 18-15                          ;G  ;1703.1      ;0.005697    ;1707.97     ;    1;   32.96    Mpc ;                       ;        ;2016AJ....152...50T
521;NGC 360                            ;G  ;2309.1      ;0.007732    ;2318.06     ;    1;   32.06    Mpc ;  -3.03       +3.03    ;T-F     ;2020ApJ...902..145K
522;IC 1532                            ;G  ;1825.2      ;0.006107    ;1830.79     ;    1;   34.83    Mpc ;                       ;        ;2016AJ....152...50T
523;ESO 1-6                            ;G  ;2251.4      ;0.007538    ;2259.92     ;    1;   30.48    Mpc ;  -3.29       +3.29    ;T-F     ;2020ApJ...902..145K
524;ESO 12-10                          ;G  ;1935.4      ;0.006477    ;1941.69     ;    1;   48.08    Mpc ;                       ;        ;2016AJ....152...50T
525;ESO 40-12                          ;G  ;2662.3      ;0.008920    ;2674.23     ;    1;   39.99    Mpc ;                       ;        ;2016AJ....152...50T
526;ESO 21-3                           ;G  ;2304.7      ;0.007717    ;2313.63     ;    1;   34.04    Mpc ;                       ;        ;2016AJ....152...50T
