C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.18CEST01:53:59

maintype = G & redshift >0 & Distance.distance <  60 & Distance.distance  >= 50 & Distance.unit = Mpc
-----------------------------------------------------------------------------------------------------

Number of objects : 801

 # ;            identifier             ;typ;   radvel   ;  redshift  ;     cz     ;#dist; distance Q unit;  err-        err+     ; method ;     reference     
236;ESO 540-3                          ;G  ;3280.4      ;0.011003    ;3298.55     ;    1;   51.76    Mpc ;  -3.73       +3.73    ;T-F     ;2020ApJ...902..145K
237;NGC 175                            ;G  ;3883.6      ;0.013039    ;3909.08     ;    1;   54.20    Mpc ;                       ;        ;2016AJ....152...50T
238;NGC 872                            ;G  ;4308        ;0.014475    ;4339.40     ;    1;   59.43    Mpc ;  -6.69       +6.69    ;T-F     ;2020ApJ...902..145K
239;NGC 1114                           ;G  ;3470.3      ;0.011643    ;3490.62     ;    1;   47.64    Mpc ;  -4.07       +4.07    ;T-F     ;2020ApJ...902..145K
240;NGC 7736                           ;G  ;4478        ;0.015050    ;4511.88     ;    1;   56.49    Mpc ;                       ;        ;2016AJ....152...50T
241;MCG-03-07-019                      ;G  ;3769.9      ;0.012655    ;3793.90     ;    1;   57.54    Mpc ;  -6.99       +6.99    ;T-F     ;2020ApJ...902..145K
242;LEDA 90497                         ;G  ;3916        ;0.013149    ;3941.91     ;    1;   52.48    Mpc ;  -8.97       +8.97    ;T-F     ;2020ApJ...902..145K
243;MCG-02-07-032                      ;G  ;4469        ;0.015020    ;4502.81     ;    1;   59.16    Mpc ; -13.04      +13.04    ;T-F     ;2020ApJ...902..145K
244;MCG-02-55-001                      ;G  ;5649        ;0.019024    ;5703.24     ;    1;   50.12    Mpc ;                       ;        ;2016AJ....152...50T
245;Mrk 1033                           ;G  ;5208        ;0.017525    ;5253.86     ;    1;   48.53    Mpc ;                       ;        ;2016AJ....152...50T
246;NGC 7065                           ;G  ;7384        ;0.024941    ;7477.12     ;    1;   51.52    Mpc ;                       ;        ;2016AJ....152...50T
247;2MASX J21505637-0915594            ;G  ;5532        ;0.018626    ;5584.00     ;    1;   57.81    Mpc ;                       ;        ;2016AJ....152...50T
248;MCG-02-59-007                      ;G  ;3386        ;0.011359    ;3405.34     ;    1;   58.61    Mpc ;  -7.39       +7.39    ;T-F     ;2020ApJ...902..145K
249;MCG-02-02-009                      ;G  ;5156        ;0.01735     ;5201.4      ;    1;   56.23    Mpc ;                       ;        ;2016AJ....152...50T
250;MCG-02-03-036                      ;G  ;5601        ;0.01886     ;5654.1      ;    1;   55.46    Mpc ; -11.73      +11.73    ;T-F     ;2020ApJ...902..145K
251;MCG-02-03-029                      ;G  ;4199        ;0.014106    ;4228.87     ;    1;   59       Mpc ;                       ;        ;2007ApJS..173..185G
252;MCG-02-05-043                      ;G  ;1821.6      ;0.006095    ;1827.17     ;    1;   55       Mpc ;                       ;        ;2007ApJS..173..185G
253;NGC 273                            ;G  ;4715        ;0.015854    ;4752.91     ;    1;   58.88    Mpc ;                       ;        ;2016AJ....152...50T
254;MCG-01-58-011                      ;G  ;3701        ;0.012422    ;3724.13     ;    1;   53       Mpc ;                       ;        ;2007ApJS..173..185G
255;MCG-01-60-005                      ;G  ;5231.3      ;0.017605    ;5277.75     ;    1;   52.24    Mpc ;                       ;        ;2016AJ....152...50T
256;MCG-01-60-012                      ;G  ;6703        ;0.022614    ;6779.64     ;    1;   57.81    Mpc ;                       ;        ;2016AJ....152...50T
257;Mrk 944                            ;G  ;4317        ;0.014505    ;4348.53     ;    1;   55.72    Mpc ;  -8.02       +8.02    ;T-F     ;2020ApJ...902..145K
258;MCG-01-02-038                      ;G  ;5041        ;0.016959    ;5084.10     ;    1;   52.72    Mpc ;  -5.69       +5.69    ;T-F     ;2020ApJ...902..145K
259;2MASX J02352963-0222239            ;G  ;5634        ;0.018973    ;5687.95     ;    1;   58.08    Mpc ; -10.45      +10.45    ;T-F     ;2020ApJ...902..145K
260;UGC 11853                          ;G  ;4779        ;0.01607     ;4817.7      ;    1;   66.07    Mpc ;  -7.73       +7.73    ;T-F     ;2020ApJ...902..145K
261;NGC 7198                           ;G  ;4671        ;0.015704    ;4707.94     ;    1;   58.88    Mpc ;                       ;        ;2016AJ....152...50T
262;UGC 11867                          ;G  ;4861        ;0.016348    ;4901.06     ;    1;   62.23    Mpc ;  -6.72       +6.72    ;T-F     ;2020ApJ...902..145K
263;UGC 12114                          ;G  ;4803        ;0.01615     ;4841.6      ;    1;   57.54    Mpc ; -16.83      +16.83    ;T-F     ;2020ApJ...902..145K
264;NGC 7391                           ;G  ;3030        ;0.010160    ;3045.89     ;    1;   42.007   Mpc ;                       ;        ;2019MNRAS.490..718B
265;UGC 12183                          ;G  ;4670        ;0.01570     ;4706.7      ;    1;   53.46    Mpc ;  -4.09       +4.09    ;T-F     ;2020ApJ...902..145K
266;UGC 12295                          ;G  ;4822        ;0.016216    ;4861.41     ;    1;   59.16    Mpc ;                       ;        ;2016AJ....152...50T
267;LEDA 948                           ;G  ;2439        ;0.008169    ;2449.00     ;    1;   52.97    Mpc ;  -4.53       +4.53    ;T-F     ;2020ApJ...902..145K
268;UGC 281                            ;G  ;4291        ;0.014417    ;4322.15     ;    1;   58.08    Mpc ;  -4.18       +4.18    ;T-F     ;2020ApJ...902..145K
269;LEDA 90541                         ;G  ;2262        ;0.007574    ;2270.60     ;    1;   54.70    Mpc ;  -4.18       +4.18    ;T-F     ;2020ApJ...902..145K
270;LEDA 1275825                       ;G  ;5701        ;0.019201    ;5756.25     ;    1;   53.46    Mpc ; -10.34      +10.34    ;T-F     ;2020ApJ...902..145K
271;UGC 12881                          ;G  ;3868        ;0.012987    ;3893.28     ;    1;   49.20    Mpc ;  -2.88       +2.88    ;T-F     ;2020ApJ...902..145K
272;UGC 1553                           ;G  ;4752        ;0.015979    ;4790.27     ;    1;   58.88    Mpc ;  -5.56       +5.56    ;T-F     ;2020ApJ...902..145K
273;IC 197                             ;G  ;6321        ;0.021312    ;6389.07     ;    1;   54.70    Mpc ;  -6.65       +6.65    ;T-F     ;2020ApJ...902..145K
274;UGC 2295                           ;G  ;4174        ;0.014021    ;4203.47     ;    1;   53.46    Mpc ;  -3.13       +3.13    ;T-F     ;2020ApJ...902..145K
275;UGC 2338                           ;G  ;4501        ;0.015128    ;4535.30     ;    1;   57.81    Mpc ;  -4.68       +4.68    ;T-F     ;2020ApJ...902..145K
276;MCG+00-08-063                      ;G  ;6130        ;0.020661    ;6193.97     ;    1;   53.21    Mpc ;  -8.14       +8.14    ;T-F     ;2020ApJ...902..145K
277;UGC 11792                          ;G  ;4739.9      ;0.015938    ;4777.97     ;    1;   59.70    Mpc ;  -5.37       +5.37    ;T-F     ;2020ApJ...902..145K
278;LEDA 93019                         ;G  ;4725        ;0.015887    ;4762.83     ;    1;   54.45    Mpc ;  -9.80       +9.80    ;T-F     ;2020ApJ...902..145K
279;Z 406-31                           ;G  ;4713        ;0.015846    ;4750.64     ;    1;   58.08    Mpc ;  -4.18       +4.18    ;T-F     ;2020ApJ...902..145K
280;UGC 12369                          ;G  ;3459        ;0.011605    ;3479.19     ;    1;   70.79    Mpc ; -10.51      +10.51    ;T-F     ;2020ApJ...902..145K
281;Z 406-115                          ;G  ;3528        ;0.011838    ;3549.01     ;    1;   50.35    Mpc ;  -6.34       +6.34    ;T-F     ;2020ApJ...902..145K
282;UGC 155                            ;G  ;3967        ;0.013321    ;3993.60     ;    1;   52.48    Mpc ;  -2.83       +2.83    ;T-F     ;2020ApJ...902..145K
283;Z 402-18                           ;G  ;3741        ;0.012557    ;3764.64     ;    1;   54.95    Mpc ;  -6.68       +6.68    ;T-F     ;2020ApJ...902..145K
284;UGC 12370                          ;G  ;4895        ;0.016463    ;4935.62     ;    1;   57.54    Mpc ;  -3.63       +3.63    ;T-F     ;2020ApJ...902..145K
285;Z 431-26                           ;G  ;4317        ;0.014505    ;4348.53     ;    1;   53.21    Mpc ;  -4.55       +4.55    ;T-F     ;2020ApJ...902..145K
286;UGC 12501                          ;G  ;3790        ;0.012723    ;3814.26     ;    1;   60.26    Mpc ;  -5.97       +5.97    ;T-F     ;2020ApJ...902..145K
287;UGC 896                            ;G  ;2028        ;0.006788    ;2034.91     ;    1;   58.88    Mpc ; -11.92      +11.92    ;T-F     ;2020ApJ...902..145K
288;Mrk 568                            ;G  ;5546        ;0.018674    ;5598.26     ;    1;   51.52    Mpc ;  -8.35       +8.35    ;T-F     ;2020ApJ...902..145K
289;NGC 652                            ;G  ;5321        ;0.017909    ;5369.07     ;    1;   52.24    Mpc ;  -5.88       +5.88    ;T-F     ;2020ApJ...902..145K
290;IC 1721                            ;G  ;4301        ;0.014451    ;4332.30     ;    1;   52.48    Mpc ;  -4.25       +4.25    ;T-F     ;2020ApJ...902..145K
291;IC 1723                            ;G  ;5531        ;0.018623    ;5582.98     ;    1;   56.49    Mpc ;  -3.05       +3.05    ;T-F     ;2020ApJ...902..145K
292;UGC 2285                           ;G  ;5961        ;0.020085    ;6021.46     ;    1;   59.70    Mpc ;  -3.76       +3.76    ;T-F     ;2020ApJ...902..145K
293;UGC 12307                          ;G  ;2809        ;0.009414    ;2822.28     ;    1;   40.55    Mpc ;  -2.55       +2.55    ;T-F     ;2020ApJ...902..145K
294;UGC 12388                          ;G  ;4583        ;0.015406    ;4618.57     ;    1;   58.61    Mpc ;  -3.69       +3.69    ;T-F     ;2020ApJ...902..145K
295;UGC 12571                          ;G  ;3913        ;0.013139    ;3938.87     ;    1;   59.70    Mpc ;  -4.84       +4.84    ;T-F     ;2020ApJ...902..145K
296;NGC 105                            ;G  ;5168        ;0.017390    ;5213.32     ;    1;   66.07    Mpc ;                       ;        ;2016AJ....152...50T
297;UGC 323                            ;G  ;5055        ;0.017005    ;5098.00     ;    1;   65.16    Mpc ;  -3.81       +3.81    ;T-F     ;2020ApJ...902..145K
298;UGC 833                            ;G  ;5192        ;0.017471    ;5237.75     ;    1;   59.70    Mpc ;  -6.18       +6.18    ;T-F     ;2020ApJ...902..145K
299;UGC 1146                           ;G  ;3526        ;0.011831    ;3546.98     ;    1;   52.24    Mpc ;  -4.23       +4.23    ;T-F     ;2020ApJ...902..145K
300;IC 1825                            ;G  ;5124        ;0.017240    ;5168.55     ;    1;   58.08    Mpc ;  -6.27       +6.27    ;T-F     ;2020ApJ...902..145K
301;UGC 12354                          ;G  ;3857        ;0.01295     ;3882.3      ;    1;   52.97    Mpc ;  -4.29       +4.29    ;T-F     ;2020ApJ...902..145K
302;Z 431-62                           ;G  ;3913        ;0.013139    ;3938.87     ;    1;   54.70    Mpc ;  -5.91       +5.91    ;T-F     ;2020ApJ...902..145K
303;Z 454-38                           ;G  ;2918        ;0.009781    ;2932.34     ;    1;   59.98    Mpc ;                       ;        ;2016AJ....152...50T
304;UGC 12673                          ;G  ;4197        ;0.014099    ;4226.79     ;    1;   56.49    Mpc ;  -4.58       +4.58    ;T-F     ;2020ApJ...902..145K
305;Z 455-10                           ;G  ;5171        ;0.017400    ;5216.38     ;    1;   48.98    Mpc ;  -4.41       +4.41    ;T-F     ;2020ApJ...902..145K
306;LEDA 86518                         ;G  ;4057        ;0.013626    ;4084.83     ;    1;   53.70    Mpc ;  -5.07       +5.07    ;T-F     ;2020ApJ...902..145K
307;Z 435-26                           ;G  ;5415        ;0.01823     ;5465.2      ;    1;   79.80    Mpc ; -12.93      +12.93    ;T-F     ;2020ApJ...902..145K
308;NGC 716                            ;G  ;4559        ;0.015325    ;4594.20     ;    1;   52.72    Mpc ;  -3.32       +3.32    ;T-F     ;2020ApJ...902..145K
309;UGC 1468                           ;G  ;4537        ;0.01525     ;4571.8      ;    1;   54.20    Mpc ;  -5.37       +5.37    ;T-F     ;2020ApJ...902..145K
310;UGC 1883                           ;G  ;3779        ;0.012686    ;3803.12     ;    1;   53.95    Mpc ;  -3.16       +3.16    ;T-F     ;2020ApJ...902..145K
311;UGC 11715                          ;G  ;5049        ;0.016986    ;5092.24     ;    1;   57.81    Mpc ;  -7.54       +7.54    ;T-F     ;2020ApJ...902..145K
312;UGC 205                            ;G  ;5277        ;0.017760    ;5324.27     ;    1;   54.95    Mpc ;  -5.44       +5.44    ;T-F     ;2020ApJ...902..145K
313;UGC 659                            ;G  ;5452        ;0.018354    ;5502.49     ;    1;   51.05    Mpc ;  -3.45       +3.45    ;T-F     ;2020ApJ...902..145K
314;IC 1702                            ;G  ;4134        ;0.013886    ;4162.90     ;    1;   50.82    Mpc ;  -5.49       +5.49    ;T-F     ;2020ApJ...902..145K
315;LEDA 92852                         ;G  ;4083        ;0.013713    ;4111.19     ;    1;   51.29    Mpc ;  -3.46       +3.46    ;T-F     ;2020ApJ...902..145K
316;UGC 1761                           ;G  ;3974        ;0.01335     ;4001.0      ;    1;   46.13    Mpc ;  -8.93       +8.93    ;T-F     ;2020ApJ...902..145K
317;Z 438-54                           ;G  ;3784        ;0.012703    ;3808.19     ;    1;   59.16    Mpc ;                       ;        ;2016AJ....152...50T
318;UGC 1946                           ;G  ;4078        ;0.013697    ;4106.12     ;    1;   51.52    Mpc ;  -3.25       +3.25    ;T-F     ;2020ApJ...902..145K
319;UGC 11677                          ;G  ;4960        ;0.016684    ;5001.72     ;    1;   59.98    Mpc ;  -3.51       +3.51    ;T-F     ;2020ApJ...902..145K
320;UGC 11881                          ;G  ;3663        ;0.012294    ;3685.65     ;    1;   53.46    Mpc ;  -3.61       +3.61    ;T-F     ;2020ApJ...902..145K
321;UGC 12597                          ;G  ;3457        ;0.011599    ;3477.16     ;    1;   52.00    Mpc ;  -4.21       +4.21    ;T-F     ;2020ApJ...902..145K
322;UGC 510                            ;G  ;4533        ;0.015237    ;4567.79     ;    1;   55.98    Mpc ;  -3.53       +3.53    ;T-F     ;2020ApJ...902..145K
323;IC 1736                            ;G  ;5168        ;0.017390    ;5213.32     ;    1;   62.52    Mpc ;  -5.35       +5.35    ;T-F     ;2020ApJ...902..145K
324;UGC 1329                           ;G  ;4933        ;0.016592    ;4974.26     ;    1;   37.33    Mpc ;  -2.52       +2.52    ;T-F     ;2020ApJ...902..145K
325;UGC 1700                           ;G  ;4241        ;0.014248    ;4271.43     ;    1;   57.54    Mpc ;  -3.88       +3.88    ;T-F     ;2020ApJ...902..145K
326;IC 255                             ;G  ;7690        ;0.025989    ;7791.21     ;    1;   54.70    Mpc ; -12.06      +12.06    ;T-F     ;2020ApJ...902..145K
327;NGC 7003                           ;G  ;5320        ;0.017906    ;5368.05     ;    1;   55.46    Mpc ;  -7.74       +7.74    ;T-F     ;2020ApJ...902..145K
328;IC 5285                            ;G  ;6155        ;0.020746    ;6219.50     ;    1;   54.70    Mpc ;  -8.62       +8.62    ;T-F     ;2020ApJ...902..145K
329;UGC 12429                          ;G  ;4277        ;0.014370    ;4307.95     ;    1;   52.24    Mpc ;  -5.41       +5.41    ;T-F     ;2020ApJ...902..145K
330;UGC 24                             ;G  ;4446        ;0.014942    ;4479.46     ;    1;   56.23    Mpc ;  -6.07       +6.07    ;T-F     ;2020ApJ...902..145K
331;LEDA 4                             ;G  ;4463        ;0.014999    ;4496.72     ;    1;   45.50    Mpc ;  -3.48       +3.48    ;T-F     ;2020ApJ...902..145K
332;UGC 76                             ;G  ;4583        ;0.015406    ;4618.57     ;    1;   57.81    Mpc ;  -7.28       +7.28    ;T-F     ;2020ApJ...902..145K
333;LEDA 73288                         ;G  ;6181        ;0.020835    ;6246.05     ;    1;   51.76    Mpc ;  -6.99       +6.99    ;T-F     ;2020ApJ...902..145K
334;UGC 179                            ;G  ;4462        ;0.014996    ;4495.71     ;    1;   70.47    Mpc ;  -6.98       +6.98    ;T-F     ;2020ApJ...902..145K
335;UGC 244                            ;G  ;4553        ;0.015304    ;4588.10     ;    1;   58.34    Mpc ;  -7.61       +7.61    ;T-F     ;2020ApJ...902..145K
336;UGC 354                            ;G  ;5612        ;0.018898    ;5665.52     ;    1;   59.16    Mpc ;  -9.58       +9.58    ;T-F     ;2020ApJ...902..145K
337;UGC 1452                           ;G  ;4977        ;0.016742    ;5019.01     ;    1;   53.21    Mpc ;  -3.59       +3.59    ;T-F     ;2020ApJ...902..145K
338;Z 463-3                            ;G  ;7738        ;0.026153    ;7840.49     ;    1;   58.08    Mpc ;  -4.18       +4.18    ;T-F     ;2020ApJ...902..145K
339;UGC 2283                           ;G  ;6450        ;0.021751    ;6520.90     ;    1;   54.95    Mpc ;  -5.69       +5.69    ;T-F     ;2020ApJ...902..145K
340;UGC 11860                          ;G  ;3126        ;0.010482    ;3142.47     ;    1;   56.49    Mpc ;  -5.85       +5.85    ;T-F     ;2020ApJ...902..145K
341;UGC 12123                          ;G  ;4083        ;0.013713    ;4111.19     ;    1;   46.13    Mpc ;  -5.19       +5.19    ;T-F     ;2020ApJ...902..145K
342;Z 476-66                           ;G  ;3691        ;0.012389    ;3714.00     ;    1;   52.9     Mpc ;                       ;        ;2008AJ....135..588S
343;NGC 23                             ;G  ;4532.6      ;0.015235    ;4567.39     ;    1;   53.21    Mpc ;                       ;        ;2016AJ....152...50T
344;UGC 127                            ;G  ;4683        ;0.015745    ;4720.15     ;    1;   59.43    Mpc ;  -4.01       +4.01    ;T-F     ;2020ApJ...902..145K
345;UGC 110                            ;G  ;4507        ;0.015148    ;4541.39     ;    1;   59.70    Mpc ;  -6.99       +6.99    ;T-F     ;2020ApJ...902..145K
346;UGC 221                            ;G  ;3904        ;0.013108    ;3929.75     ;    1;   54.6     Mpc ;                       ;        ;2008AJ....135..588S
347;LEDA 169959                        ;G  ;2915        ;0.009771    ;2929.31     ;    1;   59.43    Mpc ;  -5.62       +5.62    ;T-F     ;2020ApJ...902..145K
348;UGC 1733                           ;G  ;4417        ;0.014844    ;4450.02     ;    1;   55.98    Mpc ;  -3.27       +3.27    ;T-F     ;2020ApJ...902..145K
349;UGC 2032                           ;G  ;4332        ;0.014556    ;4363.76     ;    1;   43.45    Mpc ;  -3.32       +3.32    ;T-F     ;2020ApJ...902..145K
350;2MFGC 16129                        ;G  ;4750        ;0.015972    ;4788.23     ;    1;   58.08    Mpc ;  -8.10       +8.10    ;T-F     ;2020ApJ...902..145K
351;UGC 12427                          ;G  ;3697        ;0.012409    ;3720.08     ;    1;   50.82    Mpc ;  -3.43       +3.43    ;T-F     ;2020ApJ...902..145K
352;LEDA 1820025                       ;G  ;3652        ;0.012257    ;3674.52     ;    1;   52.3     Mpc ;                       ;        ;2008AJ....135..588S
353;UGC 166                            ;G  ;4831        ;0.016246    ;4870.56     ;    1;   55.72    Mpc ;  -4.26       +4.26    ;T-F     ;2020ApJ...902..145K
354;UGC 234                            ;G  ;4669        ;0.015697    ;4705.93     ;    1;   62.81    Mpc ;  -9.33       +9.33    ;T-F     ;2020ApJ...902..145K
355;UGC 310                            ;G  ;4657        ;0.015657    ;4693.74     ;    1;   45.92    Mpc ;  -4.34       +4.34    ;T-F     ;2020ApJ...902..145K
356;UGC 345                            ;G  ;4178        ;0.014035    ;4207.52     ;    1;   38.73    Mpc ;  -2.79       +2.79    ;T-F     ;2020ApJ...902..145K
357;UGC 453                            ;G  ;4857        ;0.016335    ;4896.99     ;    1;   57.28    Mpc ;  -4.12       +4.12    ;T-F     ;2020ApJ...902..145K
358;LEDA 90524                         ;G  ;4653        ;0.015643    ;4689.68     ;    1;   54.70    Mpc ;  -7.38       +7.38    ;T-F     ;2020ApJ...902..145K
359;LEDA 138373                        ;G  ;4018        ;0.013494    ;4045.29     ;    1;   55.0     Mpc ;                       ;        ;2008AJ....135..588S
360;LEDA 138419                        ;G  ;3875        ;0.013010    ;3900.37     ;    1;   52.8     Mpc ;                       ;        ;2008AJ....135..588S
361;LEDA 90562                         ;G  ;4037        ;0.013558    ;4064.55     ;    1;   44.67    Mpc ;  -3.02       +3.02    ;T-F     ;2020ApJ...902..145K
362;UGC 1462                           ;G  ;5062        ;0.017030    ;5105.47     ;    1;   52.48    Mpc ;                       ;        ;2016AJ....152...50T
363;UGC 1575                           ;G  ;4836        ;0.016263    ;4875.64     ;    1;   59.16    Mpc ;  -3.99       +3.99    ;T-F     ;2020ApJ...902..145K
364;UGC 1739                           ;G  ;5094        ;0.017139    ;5138.02     ;    1;   59.16    Mpc ;  -3.73       +3.73    ;T-F     ;2020ApJ...902..145K
365;IC 1809                            ;G  ;5573        ;0.018766    ;5625.78     ;    1;   53.21    Mpc ;  -5.75       +5.75    ;T-F     ;2020ApJ...902..145K
366;UGC 11729                          ;G  ;4629        ;0.015562    ;4665.30     ;    1;   54.95    Mpc ; -10.39      +10.39    ;T-F     ;2020ApJ...902..145K
367;UGC 11838                          ;G  ;3477        ;0.011666    ;3497.40     ;    1;   43.85    Mpc ;  -2.57       +2.57    ;T-F     ;2020ApJ...902..145K
368;LEDA 1813242                       ;G  ;3511        ;0.011781    ;3531.80     ;    1;   25.59    Mpc ;  -9.79       +9.79    ;T-F     ;2020ApJ...902..145K
369;Z 496-17                           ;G  ;7232        ;0.024421    ;7321.37     ;    1;   59.70    Mpc ;  -4.84       +4.84    ;T-F     ;2020ApJ...902..145K
370;UGC 12593                          ;G  ;4973        ;0.016728    ;5014.94     ;    1;   59.16    Mpc ;                       ;        ;2016AJ....152...50T
371;Z 497-19                           ;G  ;5270        ;0.017736    ;5317.15     ;    1;   53.21    Mpc ;  -5.27       +5.27    ;T-F     ;2020ApJ...902..145K
372;UGC 12609                          ;G  ;5041        ;0.016959    ;5084.10     ;    1;   54.20    Mpc ;  -4.88       +4.88    ;T-F     ;2020ApJ...902..145K
373;LEDA 71429                         ;G  ;5192        ;0.017471    ;5237.75     ;    1;   51.52    Mpc ;  -6.49       +6.49    ;T-F     ;2020ApJ...902..145K
374;UGC 12693                          ;G  ;4956        ;0.016670    ;4997.65     ;    1;   52.97    Mpc ;  -3.34       +3.34    ;T-F     ;2020ApJ...902..145K
375;LEDA 3983813                       ;G  ;5242        ;0.017641    ;5288.64     ;    1;   57.28    Mpc ;  -5.16       +5.16    ;T-F     ;2020ApJ...902..145K
376;IC 5355                            ;G  ;4848        ;0.016304    ;4887.84     ;    1;   58.34    Mpc ;                       ;        ;2016AJ....152...50T
377;UGC 12864                          ;G  ;4673.3      ;0.015712    ;4710.30     ;    1;   53.46    Mpc ;  -4.81       +4.81    ;T-F     ;2020ApJ...902..145K
378;UGC 376                            ;G  ;4821        ;0.016213    ;4860.39     ;    1;   59.16    Mpc ;  -3.99       +3.99    ;T-F     ;2020ApJ...902..145K
379;UGC 509                            ;G  ;5134        ;0.017274    ;5178.72     ;    1;   57.28    Mpc ;  -4.38       +4.38    ;T-F     ;2020ApJ...902..145K
380;LEDA 2816251                       ;G  ;5536        ;0.018640    ;5588.07     ;    1;   53.46    Mpc ;  -3.61       +3.61    ;T-F     ;2020ApJ...902..145K
381;UGC 1033                           ;G  ;4039        ;0.013565    ;4066.58     ;    1;   48.53    Mpc ;  -2.62       +2.62    ;T-F     ;2020ApJ...902..145K
382;LEDA 8450                          ;G  ;9829        ;0.0333      ;9996        ;    1;   58.08    Mpc ;  -6.79       +6.79    ;T-F     ;2020ApJ...902..145K
383;Z 494-1                            ;G  ;4762        ;0.016013    ;4800.43     ;    1;   55.21    Mpc ;  -2.98       +2.98    ;T-F     ;2020ApJ...902..145K
384;UGC 11967                          ;G  ;5035        ;0.016938    ;5078.00     ;    1;   59.43    Mpc ;  -4.55       +4.55    ;T-F     ;2020ApJ...902..145K
385;UGC 11983                          ;G  ;4892        ;0.016453    ;4932.57     ;    1;   53.21    Mpc ;  -4.79       +4.79    ;T-F     ;2020ApJ...902..145K
386;Z 495-44                           ;G  ;6307        ;0.021264    ;6374.76     ;    1;   55.21    Mpc ;                       ;        ;2016AJ....152...50T
387;Z 496-56                           ;G  ;5244        ;0.017648    ;5290.68     ;    1;   58.08    Mpc ;  -3.92       +3.92    ;T-F     ;2020ApJ...902..145K
388;UGC 12375                          ;G  ;5506        ;0.018538    ;5557.50     ;    1;   57.81    Mpc ;  -3.64       +3.64    ;T-F     ;2020ApJ...902..145K
389;UGC 443                            ;G  ;6251        ;0.021073    ;6317.55     ;    1;   62.52    Mpc ;  -4.22       +4.22    ;T-F     ;2020ApJ...902..145K
390;NGC 769                            ;G  ;4417        ;0.014844    ;4450.02     ;    1;   54.70    Mpc ;  -5.66       +5.66    ;T-F     ;2020ApJ...902..145K
391;UGC 1576                           ;G  ;5231        ;0.017604    ;5277.44     ;    1;   45.08    Mpc ;  -3.45       +3.45    ;T-F     ;2020ApJ...902..145K
392;UGC 1944                           ;G  ;4604        ;0.015477    ;4639.90     ;    1;   59.98    Mpc ;  -6.21       +6.21    ;T-F     ;2020ApJ...902..145K
393;UGC 2236                           ;G  ;5731        ;0.019303    ;5786.84     ;    1;   51.76    Mpc ;  -4.19       +4.19    ;T-F     ;2020ApJ...902..145K
394;Z 515-23                           ;G  ;5837        ;0.019663    ;5894.95     ;    1;   56.23    Mpc ;  -6.33       +6.33    ;T-F     ;2020ApJ...902..145K
395;Z 521-6                            ;G  ;5034        ;0.016935    ;5076.98     ;    1;   57.54    Mpc ;  -8.55       +8.55    ;T-F     ;2020ApJ...902..145K
396;NGC 551                            ;G  ;5188        ;0.017458    ;5233.68     ;    1;   59.43    Mpc ;  -4.81       +4.81    ;T-F     ;2020ApJ...902..145K
397;LEDA 7055                          ;G  ;5014        ;0.016867    ;5056.64     ;    1;   77.27    Mpc ; -22.60      +22.60    ;T-F     ;2020ApJ...902..145K
398;LEDA 142790                        ;G  ;5598        ;0.018851    ;5651.26     ;    1;   59.16    Mpc ; -18.10      +18.10    ;T-F     ;2020ApJ...902..145K
399;UGC 1581                           ;G  ;4415        ;0.014837    ;4447.99     ;    1;   46.34    Mpc ;  -2.29       +2.29    ;T-F     ;2020ApJ...902..145K
400;LEDA 74076                         ;G  ;4325        ;0.014532    ;4356.65     ;    1;   58.34    Mpc ;  -7.35       +7.35    ;T-F     ;2020ApJ...902..145K
401;UGC 1729                           ;G  ;4442        ;0.014928    ;4475.40     ;    1;   55.98    Mpc ;  -5.54       +5.54    ;T-F     ;2020ApJ...902..145K
402;UGC 2197                           ;G  ;5100        ;0.017159    ;5144.13     ;    1;   61.94    Mpc ;  -6.69       +6.69    ;T-F     ;2020ApJ...902..145K
403;2MFGC 17342                        ;G  ;5075        ;0.017074    ;5118.69     ;    1;   53.21    Mpc ;  -6.47       +6.47    ;T-F     ;2020ApJ...902..145K
404;UGC 1642                           ;G  ;4642        ;0.015606    ;4678.50     ;    1;   62.81    Mpc ; -14.13      +14.13    ;T-F     ;2020ApJ...902..145K
405;UGC 1910                           ;G  ;5099        ;0.017156    ;5143.11     ;    1;   58.34    Mpc ;  -2.89       +2.89    ;T-F     ;2020ApJ...902..145K
406;UGC 2054                           ;G  ;4436        ;0.014908    ;4469.31     ;    1;   57.28    Mpc ;  -5.67       +5.67    ;T-F     ;2020ApJ...902..145K
407;UGC 2100                           ;G  ;4377        ;0.014708    ;4409.42     ;    1;   56.49    Mpc ;  -6.36       +6.36    ;T-F     ;2020ApJ...902..145K
408;NGC 721                            ;G  ;5597        ;0.018847    ;5650.24     ;    1;   64.27    Mpc ;  -9.54       +9.54    ;T-F     ;2020ApJ...902..145K
409;2MFGC 1662                         ;G  ;5550        ;0.018687    ;5602.34     ;    1;   57.02    Mpc ;  -7.18       +7.18    ;T-F     ;2020ApJ...902..145K
410;UGC 4793                           ;G  ;4141        ;0.013910    ;4170.00     ;    1;   55.72    Mpc ;  -6.52       +6.52    ;T-F     ;2020ApJ...902..145K
411;ESO 564-26                         ;G  ;2788        ;0.009343    ;2801.09     ;    1;   51.76    Mpc ;  -8.62       +8.62    ;T-F     ;2020ApJ...902..145K
